MAZID,Code_AM,Code_PM,Coverage_AM,Coverage_PM
1,2,2,10min headway,10min headway
2,2,2,10min headway,10min headway
3,2,2,10min headway,10min headway
4,2,2,10min headway,10min headway
5,2,2,10min headway,10min headway
6,2,2,10min headway,10min headway
7,2,2,10min headway,10min headway
8,2,2,10min headway,10min headway
9,0,0,00 coverage,00 coverage
10,2,2,10min headway,10min headway
11,2,2,10min headway,10min headway
12,2,2,10min headway,10min headway
13,2,2,10min headway,10min headway
14,2,2,10min headway,10min headway
15,2,2,10min headway,10min headway
16,2,2,10min headway,10min headway
17,2,2,10min headway,10min headway
18,1,1,05min headway,05min headway
19,1,1,05min headway,05min headway
20,2,2,10min headway,10min headway
21,3,3,Any,Any
22,3,3,Any,Any
23,1,1,05min headway,05min headway
24,1,1,05min headway,05min headway
25,2,2,10min headway,10min headway
26,2,2,10min headway,10min headway
27,2,2,10min headway,10min headway
28,2,2,10min headway,10min headway
29,2,2,10min headway,10min headway
30,1,2,05min headway,10min headway
31,1,2,05min headway,10min headway
32,2,2,10min headway,10min headway
33,2,2,10min headway,10min headway
34,1,1,05min headway,05min headway
35,0,0,00 coverage,00 coverage
36,2,2,10min headway,10min headway
37,2,2,10min headway,10min headway
38,1,2,05min headway,10min headway
39,1,1,05min headway,05min headway
40,1,1,05min headway,05min headway
41,1,1,05min headway,05min headway
42,1,1,05min headway,05min headway
43,1,2,05min headway,10min headway
44,1,1,05min headway,05min headway
45,1,1,05min headway,05min headway
46,2,2,10min headway,10min headway
47,0,0,00 coverage,00 coverage
48,0,0,00 coverage,00 coverage
49,1,1,05min headway,05min headway
50,1,1,05min headway,05min headway
51,2,2,10min headway,10min headway
52,2,2,10min headway,10min headway
53,2,2,10min headway,10min headway
54,2,2,10min headway,10min headway
55,2,2,10min headway,10min headway
56,2,2,10min headway,10min headway
57,2,2,10min headway,10min headway
58,1,2,05min headway,10min headway
59,1,1,05min headway,05min headway
60,1,1,05min headway,05min headway
61,2,2,10min headway,10min headway
62,0,0,00 coverage,00 coverage
63,0,0,00 coverage,00 coverage
64,0,0,00 coverage,00 coverage
